Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Aberlour 12,90,1,SM,58797.49765,31348.71161,151012.3616,563108.4669,1610.647488,79719.24874,13886.144,6077.917649,2557.336897,105493.7192,5155.553632,4899.52462,126.2793802,716.6530744,188634.0741,0,0,2250.426315,332.566302
Aberlour 12,90,2,SM,55280.29605,29404.45727,141133.9715,554352.9039,1360.269679,75274.86305,13007.85284,5837.075724,2182.910162,80738.76437,3626.75503,5754.56047,153.3034461,700.4140856,175859.0821,0,0,2116.435387,0
Aberlour 12,90,3,SM,61100.16513,33064.67378,151694.184,563550.0668,1790.429596,73266.49767,13409.91185,6502.412547,3001.637443,111857.7433,5440.768477,5324.993228,324.3513614,598.0942292,193668.1692,64.62284129,0,2303.715701,0
Aberlour 12,100,1,SM,55552.87766,31826.20156,132126.4074,567885.3799,919.8292844,68931.48009,12854.26231,5852.837502,1442.733119,80800.33456,3427.215807,3796.980409,190.3384979,292.4961,170507.72,123.8774371,0,2172.800489,0
Aberlour 12,100,2,SM,54400.97863,32249.02903,130154.9121,570490.0135,1196.984077,62663.7949,12315.81147,6079.315568,1373.240607,50044.48416,1500.524096,3808.001568,405.2298779,113.6980122,168156.0047,152.8585305,0,2088.646026,0
Aberlour 12,100,3,SM,54115.31998,29803.89919,124710.5436,538458.2603,640.9848144,60914.91991,11168.05887,4840.479433,856.4956139,55705.45784,2333.143994,2885.386114,69.47302068,0,157597.7101,155.9618695,0,2014.542044,0
Basil Hayden's,50,1,BU,10915.44181,6566.391384,9171.828968,396056.1585,1257.563018,24478.55603,31303.47128,1503.631519,0,7043.472745,0,93726.59344,0,11184.07397,10563.02419,185.9556678,90.43104365,2760.927306,0
Basil Hayden's,50,2,BU,7603.209507,4637.967196,6041.475855,392157.8649,747.9985057,24137.23467,31438.01707,1672.570303,0,6688.830056,0,91363.31928,0,10786.56881,9116.830929,164.9952935,17.58704206,2729.536736,0
Basil Hayden's,50,3,BU,12827.5971,7822.882641,11131.60437,429780.475,1732.949802,23575.96073,32615.34945,1274.795347,0,7546.191736,0,109827.0417,0,12439.11825,17246.2415,173.4067464,139.5029164,2651.145749,0
Basil Hayden's,60,1,BU,5446.694382,3992.483463,9045.021108,463788.4547,1617.230235,22268.8252,33246.75545,1273.912577,0,6705.930176,0,100471.1812,0,11786.4334,13862.62346,164.1923989,284.4344317,2843.777516,0
