Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Black Bottle,100,2,BS,835.604544,0,0,1683.763164,0,0,45167.1064,7571.067345
Black Bottle,100,3,BS,878.2790553,0,0,1833.454354,0,713.6357513,50595.27265,10422.94806
Bulleit,50,1,RW,34247.32778,265937.7222,10372.6302,24757.3298,2635.469225,860.3824304,12896.82257,7063.606255
Bulleit,50,2,RW,36893.61115,291359.0272,11556.68231,25700.70599,2469.910808,965.0032465,10939.09712,6748.557292
Bulleit,50,3,RW,33905.65218,266839.4451,9953.700869,23410.72061,2058.069816,828.7846087,10702.22317,6445.13371
Bulleit,60,1,RW,25199.84879,218611.5641,7488.570369,23168.47381,4860.953429,874.010598,15627.74662,7472.154768
Bulleit,60,2,RW,25995.4972,221841.1775,7415.070901,23675.52427,4322.705186,904.6408523,13149.93938,7079.541216
Bulleit,60,3,RW,23224.66684,208680.8291,6725.713631,22740.19026,4389.280655,849.4488561,13509.59154,7132.177584
Bulleit,70,1,RW,13876.33124,155789.0246,2581.829108,19091.21358,8187.274116,845.5216621,19042.52476,6335.33205
Bulleit,70,2,RW,12857.01227,146396.9585,2124.116714,17988.88159,7983.325133,768.3207335,18370.85648,5490.238868
Bulleit,70,3,RW,12723.12907,146093.6202,2055.879641,18633.53344,7707.428247,707.2085563,22834.81965,6891.522426
Bulleit,80,1,RW,10817.58747,146638.4221,1650.130766,13665.05419,13183.82826,1179.833187,17689.20461,2809.260184
Bulleit,80,2,RW,11294.15105,156227.7327,1832.921785,14602.75667,14179.48978,1278.127466,18020.87613,2946.494709
Bulleit,80,3,RW,9323.362473,126634.7471,1537.166878,12716.10094,11360.12641,820.0585029,18676.00696,4003.712968
