Whiskey,Percent.whiskey,Rep,Style,D-Limonene,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",o-Cymene
Glencadam,80,2,SM,32724.73801,4963.961986,9376.337658
Glencadam,80,3,SM,33104.03707,5598.036865,9537.252738
Glencadam,90,1,SM,25530.76374,1427.767403,6903.858682
Glencadam,90,2,SM,24319.94341,1790.711095,6499.725025
Glencadam,90,3,SM,23168.27745,2330.350548,7179.363674
Glencadam,100,1,SM,16277.64661,0,4656.625712
Glencadam,100,2,SM,11737.41045,0,4171.366759
Glencadam,100,3,SM,14414.90725,0,4188.485802
Famous Grouse,50,1,BS,0,6273.455177,3499.115246
Famous Grouse,50,2,BS,11928.16677,8746.624041,4761.541162
Famous Grouse,50,3,BS,5764.881046,6051.384602,3969.491082
Famous Grouse,60,1,BS,0,4873.878241,3324.449979
Famous Grouse,60,2,BS,11073.49528,5425.061295,3627.309808
Famous Grouse,60,3,BS,8596.763953,4832.889691,3627.528158
Famous Grouse,70,1,BS,11405.54522,2326.670274,3363.497758
Famous Grouse,70,2,BS,7174.885563,1647.440692,2818.269032
Famous Grouse,70,3,BS,10441.58097,1964.002368,2983.123123
Famous Grouse,80,1,BS,11324.01698,820.6465015,2816.699837
Famous Grouse,80,2,BS,10380.71626,750.8213497,2547.156966
Famous Grouse,80,3,BS,10889.18162,574.401112,2675.385064
Famous Grouse,90,1,BS,0,0,2153.334715
Famous Grouse,90,2,BS,9331.526292,0,2148.226505
Famous Grouse,90,3,BS,0,0,1751.600618
Famous Grouse,100,1,BS,5757.777481,0,1605.853216
Famous Grouse,100,2,BS,357.4700954,0,1361.091096
Famous Grouse,100,3,BS,0,0,1236.40335
Highland Park,50,1,SM,8725.745787,24010.66937,7212.501237
Highland Park,50,2,SM,7019.888002,22749.35307,6642.621917
Highland Park,50,3,SM,7300.522399,21514.03857,6672.290038
Highland Park,60,1,SM,7992.391624,18278.8252,6503.905472
Highland Park,60,2,SM,7487.140457,18537.27404,5966.018956
Highland Park,60,3,SM,9095.813348,15195.86039,7038.512029
Highland Park,70,1,SM,7902.657129,11857.91569,5500.859439
Highland Park,70,2,SM,7267.901794,7515.345727,5362.830578
Highland Park,70,3,SM,6677.573625,10738.06388,4900.219015
Highland Park,80,1,SM,6279.397997,3067.00812,3922.12028
Highland Park,80,2,SM,5988.9537,2350.713799,4027.445757
Highland Park,80,3,SM,6094.264614,3168.553461,3861.552194
Highland Park,90,1,SM,4661.982012,650.5013862,2846.364002
Highland Park,90,2,SM,3650.88593,217.6818348,2393.466693
Highland Park,90,3,SM,4260.354447,392.9445144,2632.514743
Highland Park,100,1,SM,2515.699349,0,1669.051078
Highland Park,100,2,SM,2719.648786,0,1797.638469
Highland Park,100,3,SM,2650.305541,0,1757.568453
Highland Park Dark,50,1,SM,7033.641649,9641.262333,5255.842094
Highland Park Dark,50,2,SM,6234.822488,8826.275722,4942.385229
Highland Park Dark,50,3,SM,7309.459643,7766.308209,5415.34106
Highland Park Dark,60,1,SM,6141.699761,6626.152556,4179.076552
Highland Park Dark,60,2,SM,6727.921802,6443.385007,4598.13573
Highland Park Dark,60,3,SM,6871.180926,6445.655721,4661.273163
Highland Park Dark,70,1,SM,4875.652545,3467.895747,3099.796564
Highland Park Dark,70,2,SM,4987.201384,3434.234049,3155.256526
Highland Park Dark,70,3,SM,5368.284215,3093.468025,3406.942925
Highland Park Dark,80,1,SM,3460.582327,403.9593758,2174.367456
Highland Park Dark,80,2,SM,3840.235012,597.0261448,2269.9794
Highland Park Dark,80,3,SM,3534.583402,0,2144.99789
Highland Park Dark,90,1,SM,2153.595572,0,1421.996411
Highland Park Dark,90,2,SM,2317.902495,0,1442.354738
Highland Park Dark,90,3,SM,2497.392056,0,1509.784655
Highland Park Dark,100,1,SM,1320.565204,0,912.9927477
Highland Park Dark,100,2,SM,1452.028816,0,936.3519719
Highland Park Dark,100,3,SM,1469.186705,0,955.6513586
The Irishman,50,1,IW,6290.635385,5606.579527,2799.996578
The Irishman,50,2,IW,0,3879.493472,2352.231832
The Irishman,50,3,IW,6132.400862,5780.277077,2683.68122
The Irishman,60,1,IW,0,3242.090072,1602.087141
The Irishman,60,2,IW,0,2590.234601,1917.172477
The Irishman,60,3,IW,6021.212578,3285.657304,2216.644516
The Irishman,70,1,IW,3180.967278,934.0736047,1423.381791
The Irishman,70,2,IW,3191.100386,1632.768274,1450.136011
The Irishman,70,3,IW,1278.491776,1737.985554,1372.013684
The Irishman,80,1,IW,4610.050347,0,1519.280013
The Irishman,80,2,IW,4689.773171,426.6972652,1602.564531
The Irishman,80,3,IW,0,0,1288.123879
The Irishman,90,1,IW,0,0,998.4765236
The Irishman,90,2,IW,3194.970043,0,1146.580797
The Irishman,90,3,IW,3087.060629,0,1089.507768
The Irishman,100,1,IW,0,0,695.5517084
The Irishman,100,2,IW,0,0,621.8616443
The Irishman,100,3,IW,2535.964028,0,866.7499939
Laphroaig 10,50,1,SM,6346.622435,37398.19443,5129.168637
Laphroaig 10,50,2,SM,6263.870036,38547.48183,5506.178337
Laphroaig 10,50,3,SM,0,34279.40618,4520.392939
Laphroaig 10,60,1,SM,1807.992689,21055.11133,8146.16519
Laphroaig 10,60,2,SM,20787.46918,26420.44538,8836.001779
Laphroaig 10,60,3,SM,0,20094.32205,6760.287592
Laphroaig 10,70,1,SM,0,12120.3674,6345.029853
Laphroaig 10,70,2,SM,0,9625.899518,5852.808277
Laphroaig 10,70,3,SM,0,9843.401887,6130.564204
Laphroaig 10,80,1,SM,0,3557.778745,4414.570414
Laphroaig 10,80,2,SM,12647.96126,3283.455369,5138.147738
Laphroaig 10,80,3,SM,13017.37662,3653.531847,5237.086315
Laphroaig 10,90,1,SM,854.0382929,426.0522808,3893.157781
Laphroaig 10,90,2,SM,14917.05352,879.3672124,4589.508415
Laphroaig 10,90,3,SM,7817.138248,904.2713583,4553.263187
Laphroaig 10,100,1,SM,8910.667005,0,2979.704185
Laphroaig 10,100,2,SM,0,0,2432.58436
Laphroaig 10,100,3,SM,0,0,2375.237782
Maker's Mark,50,1,BU,420.7724521,0,17643.36734
Maker's Mark,50,2,BU,42681.91259,0,20012.98831
Maker's Mark,50,3,BU,41772.35658,0,19350.65793
Maker's Mark,60,1,BU,35083.76436,0,14522.04997
Maker's Mark,60,2,BU,36491.03428,0,14848.03463
Maker's Mark,60,3,BU,40092.9597,0,16362.34968
Maker's Mark,70,1,BU,0,0,8434.251997
Maker's Mark,70,2,BU,25002.20966,0,9425.247513
Maker's Mark,70,3,BU,22583.31069,0,8938.627237
Maker's Mark,80,1,BU,0,0,5599.089221
Maker's Mark,80,2,BU,15894.84736,0,5708.449666
Maker's Mark,80,3,BU,0,0,5323.851314
Maker's Mark,90,1,BU,0,0,3227.010181
Maker's Mark,90,2,BU,7224.768956,0,3160.766491
