Whiskey,Percent.whiskey,Rep,Style,2-Methoxy-N-methylethylamine,Pentane,Octane,"Propanoic acid, 2,2-dimethyl-, octyl ester","Undecane, 2,6-dimethyl-",Toluene,"1,1,6,6-Tetramethylspiro[4.4]nonane",Pentadecane,"1-Decanol, 2-hexyl-",Benzo[c]thiophene,"Cyclopentane, 1-ethenyl-3-ethyl-2-methyl-"
Basil Hayden's,90,3,BU,110878.609,475658.8315,4460.192966,28871.32362,18530.6392,7474.945985,0,2291.26956,2663.779295,25.38508269,1848.682482
Basil Hayden's,100,1,BU,73118.60217,307909.2983,5131.856823,30580.32572,16211.57823,7177.416247,1362.588588,1864.901473,2171.685567,29.02184766,223.5923748
Basil Hayden's,100,2,BU,81098.78322,309585.5561,5629.475411,30330.97622,11788.61172,7206.758045,1188.269615,895.5979896,0,19.31933443,156.2179511
Basil Hayden's,100,3,BU,80735.52634,3607.833523,4068.489773,5152.563064,0,3002.184849,827.0326491,2356.331851,0,2.285980686,0
Black Bottle,50,1,BS,58424.27061,3396.269972,0,0,0,2457.486443,0,592.678333,3075.116177,0,2776.144464
Black Bottle,50,2,BS,58053.24238,3437.756099,0,0,630.7423832,2341.427048,0,1141.577856,2508.136832,0,2171.638958
Black Bottle,50,3,BS,63295.70339,3526.434208,0,0,870.7044657,2641.50691,0,2295.548476,2952.025959,0,1739.898067
Black Bottle,60,1,BS,58454.09086,3581.464806,0,0,0,1708.502761,0,537.4847564,1663.394112,0,3291.67623
Black Bottle,60,2,BS,59737.64813,3508.791789,0,0,833.3291294,1853.883221,0,888.1341314,1507.786875,0,2076.821104
Black Bottle,60,3,BS,61048.27713,3564.989468,0,0,900.8797068,1809.876122,0,1602.703428,1500.756309,0,2296.800639
Black Bottle,70,1,BS,62947.75853,3268.968276,0,0,149.5642215,3359.309287,0,896.2496588,0,0,1106.272357
Black Bottle,70,2,BS,64735.28644,3206.134416,0,529.7057869,1495.635215,3367.796001,0,655.3103309,0,0,1471.57305
