Whiskey,Percent.whiskey,Rep,Style,1-Propanol,"1-Propanol, 2-methyl-",1-Butanol,"1-Butanol, 3-methyl-",1-Decanol,(Z)-4-Decen-1-ol,Phenylethyl Alcohol,1-Dodecanol,1-Tetradecanol,Octanoic acid,n-Decanoic acid,1-Hexadecanol,Dodecanoic acid
Teeling,90,2,IW,70706.93924,459761.1824,68245.60786,714663.181,498.579404,0,8863.832387,0,0,0,10875.34936,0,231.466701
Teeling,90,3,IW,75686.9372,472132.3461,66579.14608,719194.4993,555.9923387,0,7021.742117,0,0,0,10575.96113,0,0
Teeling,100,1,IW,104893.8445,532437.163,38352.45738,713106.9712,296.1796614,0,6163.451715,0,0,0,9481.056847,0,0
Teeling,100,2,IW,100876.5573,517662.6755,42793.71138,684123.7288,392.8485099,0,5500.212552,0,0,0,10634.09995,0,0
Teeling,100,3,IW,81032.66938,471526.288,45330.76156,663766.9602,288.3197827,0,6370.237799,0,0,0,9604.777959,0,0
Tullamore Dew,50,1,IW,23038.3701,115035.0752,4500.951399,942941.9208,7944.324324,1522.613242,34817.47294,5827.638501,16887.06383,3585.25208,54305.45482,4824.188002,50979.17477
Tullamore Dew,50,2,IW,37270.98648,61287.11514,4430.062371,734604.4175,6588.606687,1210.292409,29823.76603,2412.580708,9407.01949,1441.264681,14536.04285,3876.206556,2746.568156
Tullamore Dew,50,3,IW,26013.03778,82158.72564,4017.063046,727060.5704,7506.238175,1486.845942,29930.96882,3209.692115,11583.03502,2090.993191,20039.0264,4113.981173,6641.382049
Tullamore Dew,60,1,IW,25156.67942,109211.9576,4345.567965,866911.6864,5986.474009,1260.165001,30034.25362,1776.004896,8324.60346,1632.847069,14378.13052,3967.899553,2299.703152
Tullamore Dew,60,2,IW,27311.16887,95775.75557,4029.171656,755355.4409,5718.107062,878.4637513,32523.62822,1340.288503,7969.991578,1527.587338,14615.91821,3765.166564,1847.647247
Tullamore Dew,60,3,IW,39511.00395,67155.28568,4893.690549,778631.3317,5299.498241,816.9634483,32378.08334,1417.421385,7598.401099,1884.957696,16692.13831,3711.091609,5072.396522
Tullamore Dew,70,1,IW,29601.94725,117318.0805,4575.482898,875930.798,3836.572277,82.98999903,28687.86765,183.4905157,5378.95585,1067.717033,13666.47336,3283.866544,2335.183254
Tullamore Dew,70,2,IW,47693.92368,75313.19274,5373.801147,838563.171,3143.283153,0,32241.24283,0,3830.174188,1118.279035,13731.78751,3157.392733,3427.545428
Tullamore Dew,70,3,IW,29575.50081,123832.4618,4758.805332,914189.2811,3806.122563,0,26853.29081,185.8912349,4538.983195,883.1265867,13146.14119,3098.647639,2229.307693
Tullamore Dew,80,1,IW,41734.75738,121339.9824,5113.654825,835861.2085,1667.289996,0,28733.79509,0,1237.204535,241.8789233,12968.70502,2001.725074,1929.545105
Tullamore Dew,80,2,IW,30924.14445,127100.0752,4893.120809,877626.7989,1256.294967,0,33008.4258,0,412.472884,559.1358148,12657.4603,1669.985831,1860.488516
Tullamore Dew,80,3,IW,37275.64674,120843.3678,4692.525149,829656.5611,1485.314817,0,25333.62185,0,286.0251746,0,11318.00378,1255.151219,0
Tullamore Dew,90,1,IW,67330.33403,97702.79331,6565.891207,904953.99,545.6475719,0,17599.01071,0,0,0,10406.50761,556.9939293,635.8769446
Tullamore Dew,90,2,IW,37866.24799,142374.6493,5221.150902,895334.3535,546.1369278,0,25411.82838,0,0,0,11299.90385,0,0
Tullamore Dew,90,3,IW,38996.88029,140600.4846,5093.032096,875747.4305,605.6471032,0,23070.94023,0,0,0,10984.56972,361.702449,0
Tullamore Dew,100,1,IW,39674.82944,141869.6393,5259.195674,827430.5099,404.4655925,0,19061.06872,0,0,0,10845.32327,0,0
Tullamore Dew,100,2,IW,43941.47314,134589.1674,5305.071824,785156.7531,325.5818043,0,17213.78063,0,0,0,9660.24443,0,0
Tullamore Dew,100,3,IW,60419.0522,145381.6701,5917.453502,825074.1633,341.4497071,0,16472.8367,0,0,0,9070.748041,0,0
Wild Turkey,50,1,BU,16398.54479,419290.6578,4512.570025,3449139.067,27213.73207,118743.773,210253.0995,2265.539773,2777.230666,7406.900856,20168.55964,1537.024463,1791.523598
Wild Turkey,50,2,BU,15701.16551,411021.3572,4478.333632,3447148.317,26540.34296,119260.6942,215821.2237,1689.921191,2062.239782,7526.836327,19841.98328,1440.896319,1481.949082
Wild Turkey,50,3,BU,13678.50772,385778.3906,4507.233959,3284794.255,23458.26648,107387.6341,194722.0303,2071.274304,2174.252463,6581.135673,19077.52871,1253.278839,1316.33749
Wild Turkey,60,1,BU,19348.61629,458803.4423,7203.689134,3453279.6,12421.81126,59495.16108,197063.7004,1074.180878,1500.11686,4592.426416,15933.74395,2356.502738,1637.422866
Wild Turkey,60,2,BU,18966.04741,453784.2266,7348.162115,3490529.399,12274.19464,59338.61916,218888.7034,1067.689999,1023.998098,3917.146756,14735.6149,1579.702029,300.5932271
Wild Turkey,60,3,BU,18106.45628,446960.5502,6502.852963,3460718.686,13619.02304,65996.94613,221284.5329,856.7200949,1104.590476,4665.199279,15039.55795,2538.874946,1545.265261
Wild Turkey,70,1,BU,21965.1568,483634.5528,9730.164057,3323169.196,8343.135326,35295.09739,163687.1684,2453.376995,890.2253676,2109.756192,12181.01419,955.3114194,0
Wild Turkey,70,2,BU,20446.54942,462266.2047,9524.215827,3268243.071,6332.107953,30571.99387,179958.8531,1115.782397,383.2227741,2466.210231,12694.01354,1436.876544,0
Wild Turkey,70,3,BU,20500.19402,477461.3813,10356.99218,3319999.433,8440.922673,39356.95525,161312.2336,2179.79642,799.8713052,2697.713193,13754.3657,1089.196666,0
Wild Turkey,80,1,BU,25587.97345,491862.3956,9226.012611,3057513.67,10603.37015,15371.64417,118320.9055,3009.557671,0,850.2545664,13016.1039,0,0
Wild Turkey,80,2,BU,23985.97723,479542.6583,10328.51741,3104847.445,8192.23488,15068.77493,115276.2191,1894.470355,0,568.4861296,12581.34705,0,0
