Whiskey,Percent.whiskey,Rep,Style,"Butanoic acid, ethyl ester","Butanoic acid, 3-methyl-, ethyl ester","Pentanoic acid, ethyl ester","Hexanoic acid, ethyl ester","Heptanoic acid, ethyl ester","Octanoic acid, ethyl ester",Isopentyl hexanoate,"Nonanoic acid, ethyl ester","Decanoic acid, ethyl ester","Octanoic acid, 3-methylbutyl ester","Butanedioic acid, diethyl ester",n-Capric acid isobutyl ester,"Dodecanoic acid, ethyl ester","Pentadecanoic acid, 3-methylbutyl ester",Isobutyl laurate,"Tetradecanoic acid, ethyl ester",Isoamyl laurate,"Hexadecanoic acid, ethyl ester"
Bulleit,70,3,RW,66746.37884,35767.51778,21234.75527,1069764.749,195557.5615,9175536.127,142663.8506,615482.9363,11383112.32,354971.2316,29200.93382,53625.66152,4996095.279,279672.9453,6410.310943,805646.4079,26791.82949,480807.9666
Bulleit,80,1,RW,57222.13467,27802.4732,16544.9334,721147.2085,122839.3128,6834925.612,89302.92581,350738.5478,8217987.595,201482.7896,25534.95469,27401.62449,2885533.311,152792.4034,3787.196301,472485.8287,19474.36405,540118.361
Bulleit,80,2,RW,55532.42891,27603.8522,16279.04565,717528.3263,124989.1412,6995646.326,93976.3998,375831.4606,8579264.676,217932.1821,25735.65495,29780.40824,3113424.308,168595.2187,4248.844666,500050.2874,20473.83004,533555.2378
Bulleit,80,3,RW,56950.06687,27699.24444,16343.12136,720882.9982,119850.2534,6381573.024,80325.77616,306314.1752,7424407.085,170142.704,23671.56823,23400.48881,2641579.765,134032.5908,3400.736415,494263.2408,18256.9826,542563.7509
Bulleit,90,1,RW,44769.98591,20487.83129,12217.99911,504596.3159,79099.22341,4589501.175,53451.58188,182192.274,5157591.296,91974.8323,20823.8312,11120.11086,1361627.607,59701.7566,1074.344526,176518.8298,7017.75243,247698.6834
Bulleit,90,2,RW,44818.05236,20653.53018,12265.3001,514396.3174,82578.54814,4898525.647,58879.1667,200200.1999,5565124.299,104850.4144,22781.06498,13049.97119,1524170.86,78435.00139,1744.14606,193291.8661,9362.991589,271926.5515
Bulleit,90,3,RW,45406.62921,20652.61478,12272.38949,518293.2983,78984.729,4443028.603,49585.67659,164544.6072,4778400.573,82442.9745,19933.34432,10158.16757,1234711.221,59920.6833,1044.19224,153147.2806,7540.353524,236112.5681
Bulleit,100,1,RW,38458.13229,16471.48467,9468.69001,348857.7763,52605.81833,3159354.335,32986.53543,110040.7559,3405411.533,49018.12692,18316.34921,5365.280948,685072.1853,32170.85933,0,67921.57319,3331.841585,74725.59882
Bulleit,100,2,RW,34925.10912,15205.39631,8452.095363,325564.9387,50395.41395,3214172.021,32729.94667,105900.5059,3389014,47306.88259,20355.94003,4673.227317,621410.543,23991.4021,0,36937.15111,1958.587563,40639.49322
Bulleit,100,3,RW,38604.15884,16656.03076,9537.330098,356592.2238,53416.37869,3163569.857,32206.74097,107372.0864,3340534.359,48279.4185,19679.17178,5050.653417,684654.7386,25829.92331,0,62797.53632,2598.164418,61030.75117
Bunnahabhain,50,1,SM,82388.8993,42466.3926,13302.32112,1276687.695,184102.9457,17455395.26,115286.3316,800621.875,23325458.6,924903.753,18971.62642,181698.7568,10528501.94,871249.8543,17368.16236,611661.64,59319.71444,320997.4335
Bunnahabhain,50,2,SM,84546.46544,43021.98348,13521.77793,1308380.981,184365.83,16924178.48,102922.045,692187.1398,21473015.39,764073.1732,20126.20347,146879.2671,9375925.223,722440.4284,15055.51064,592436.7668,60409.92243,384692.1783
Bunnahabhain,50,3,SM,83333.45671,42954.72643,13168.91961,1270307.181,185911.9757,17958260.32,121727.2326,848427.7586,23884941.99,941489.3072,18068.47479,168095.1723,9688740.181,724466.416,14119.59848,537567.2415,53697.13689,340149.5053
Bunnahabhain,60,1,SM,76817.29249,37417.60349,11641.13888,1059959.703,143974.2048,15180481.87,90211.6408,608617.1863,21303392.79,830067.1721,17770.5085,167565.4102,9897682.429,808662.2871,16686.34575,647102.9817,65134.21207,383790.5264
Bunnahabhain,60,2,SM,74762.09866,36657.54894,11142.4227,1034856.875,140487.3811,15468474.27,95175.437,660250.8592,22271912.31,910026.7291,18312.75342,176546.3908,10067033.63,806842.7652,16429.37637,635087.7862,65410.85428,412296.3328
Bunnahabhain,60,3,SM,76685.01202,37282.31166,11785.61572,1060247.236,141826.3319,15400761.36,92794.24255,640857.6153,22008842.55,883300.895,18330.0626,172086.4127,9948875.19,789287.8594,15790.40732,603121.6372,60872.41186,376564.3312
Bunnahabhain,70,1,SM,67096.57676,31085.07491,9428.394221,795218.4313,101130.6743,12784171.4,66167.41294,444656.6118,19424978.2,785193.8911,17679.79533,177439.3352,10127645.63,852434.7521,16010.85977,621158.2872,60488.98307,372806.0227
Bunnahabhain,70,2,SM,69468.42165,31470.096,9924.730173,834775.913,105866.3183,12732887.04,63509.57646,409086.0977,18481473.86,681873.8149,16360.72542,146609.7269,8883558.434,676996.8692,11568.70883,430358.1358,41619.59212,289409.5364
Bunnahabhain,70,3,SM,68547.71441,31085.35338,9562.814735,799466.4069,101416.9043,12863375.87,66441.89679,447834.0832,19781829.96,811518.7682,15792.11752,190374.7407,10608468.64,922914.1169,17584.04202,613569.5019,58879.75561,371426.2241
Bunnahabhain,80,1,SM,62524.14052,26150.51297,8058.837946,568492.5598,65844.53152,9837248.398,40817.0172,264159.2589,15835961.59,588689.0746,13712.62421,160837.7403,9646472.919,933963.954,19663.71299,721783.5911,75219.6276,464643.2882
Bunnahabhain,80,2,SM,62882.18061,26361.90829,8145.205285,574685.8469,66658.53928,9909388.689,41059.94469,259923.8895,15555009.72,554920.1815,12718.42172,145478.6196,8902006.321,818058.2945,15788.69127,573957.7905,57048.28764,341649.6524
Bunnahabhain,80,3,SM,62716.90995,26126.6318,8171.606131,555351.9843,65908.18945,10296709.45,46735.67755,311554.7375,17387073.26,720362.031,14786.9329,193495.7775,10398933.57,1073766.185,22263.61039,781492.9829,82438.53852,493300.6698
Bunnahabhain,90,1,SM,51138.61753,19919.88154,6323.95042,378790.039,42894.60278,7300050.083,24607.90121,152015.8345,12084368.75,350780.8335,10459.71169,101399.0187,7412810.02,728893.3074,18236.76712,680698.9201,84623.02592,524415.936
Bunnahabhain,90,2,SM,53099.61162,20372.70693,6580.483241,398542.2756,44738.50216,7386173.753,25115.39242,148745.6199,11800413.18,332086.8086,11570.20328,93326.72067,7024348.916,669030.6991,17459.8868,657826.074,83084.96715,518687.9171
Bunnahabhain,90,3,SM,52995.67396,20177.88844,6378.775129,389808.3655,43748.01967,7422061.804,24730.08228,148545.2964,11893060.01,341985.2682,11192.43198,98459.45702,7262102.151,718588.2751,18517.45522,695874.901,85213.63534,604198.9456
Bunnahabhain,100,1,SM,44571.25624,16416.28557,4781.811115,273340.6808,28520.00449,5331078.904,14923.19955,85009.99832,8467441,175488.9532,8164.020062,42694.24307,4101013.668,307709.8288,6041.057059,255671.1511,34226.91117,229102.4887
Bunnahabhain,100,2,SM,44057.46744,16122.36315,4778.096835,261998.1809,28789.78483,5583229.029,16626.9859,97308.81664,9229673.793,206992.8032,10104.92007,51451.68526,4602591.4,362357.5315,7765.58693,301906.1149,42080.81756,295017.4335
Bunnahabhain,100,3,SM,48142.47532,16607.33893,5156.388822,280879.2175,30312.99277,5274733.863,14716.36225,80269.52901,8006385.569,161168.9144,10085.47006,40199.37421,4005788.066,307235.4377,7748.144563,375737.8984,49242.74734,917948.2492
Bushmills,50,1,IW,21270.77425,10292.29653,2341.674815,350605.2946,21226.21363,9533585.282,53491.11309,213498.9186,21429664.96,1197133.28,13815.19396,297127.244,13995151.54,1590349.333,12335.38943,454759.5499,20872.60465,75556.13135
Bushmills,50,2,IW,22073.83428,10909.22796,2424.91576,360722.5913,21183.79491,8714006.157,44587.89886,169396.8525,19268720.01,957583.871,13244.15348,241099.0118,12775445.15,1371644.105,10643.58974,415827.8819,19602.15924,97295.83888
Bushmills,50,3,IW,20446.2455,10012.20078,2319.472598,334036.6088,20902.88585,9424996.518,54460.99599,216138.1171,21471561.66,1227365.944,13361.70089,315976.9505,14347932.62,1720296.821,15619.82018,587771.2652,28639.18905,134499.167
Bushmills,60,1,IW,19744.73626,9445.124836,2150.186599,285356.2112,17470.71432,8154918.479,41759.88324,160705.8808,19214306.73,1012303.447,12915.23844,299330.243,14449820.19,1893709.824,17962.77674,648582.0514,30810.09081,118060.955
Bushmills,60,2,IW,17547.81141,8035.659188,1824.904913,221233.6552,14665.53253,7348199.737,34585.23907,135139.0662,17825493.34,847281.1945,10791.79203,238469.0129,12734392.54,1449506.064,10469.05498,401638.3203,18274.58409,71422.079
Bushmills,60,3,IW,19690.47879,9246.343678,2071.475671,282104.808,17801.01813,8460883.122,45602.48264,177973.7212,20133968.44,1102461.064,13865.87529,315960.8908,14569244.46,1880875.458,16862.05415,619968.7543,28954.90562,122735.6319
Bushmills,70,1,IW,19812.6099,8753.302066,1773.762739,232497.0854,12517.38579,6167576.414,26909.00685,92547.07261,14466799.34,608239.5362,10978.01216,196253.5933,11647686.86,1599133.643,18796.71774,726608.8396,37305.06449,178445.9007
