Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
Glencadam,90,1,SM,100343.2493,536625.7301,281336.1905,8599.506935,3998578.407,15633.39024,23266.30187,2789.217399,35098.72354,5296.459095
Glencadam,90,2,SM,94566.56444,510390.4287,289665.2246,9256.198337,3989439.745,16332.09988,25786.44373,2798.389502,33981.70092,5931.430912
Glencadam,90,3,SM,98102.03748,544753.781,301357.2861,9216.63474,4080504.558,16773.03286,24903.72885,3120.526245,35739.00783,6672.955391
Glencadam,100,1,SM,88496.31761,463555.4271,221677.2079,3111.233465,3682063.376,8614.311287,9425.328315,1351.295245,29863.10209,3671.458975
Glencadam,100,2,SM,74664.80037,409715.9427,207739.6646,3199.154736,3722475.301,7467.345198,9717.432224,1454.958294,25938.04514,3558.230645
Glencadam,100,3,SM,79232.15302,423479.9879,227655.3781,3530.931823,3607456.111,8701.290145,11429.02914,1003.351806,26919.45083,3754.106366
Famous Grouse,50,1,BS,67810.4053,328821.0139,190536.2242,9111.59655,800802.6806,25535.69554,6553.571787,6364.323461,13976.03245,1590.328336
Famous Grouse,50,2,BS,76860.50616,416767.8243,264760.661,11495.76786,999385.8479,28502.74458,11367.722,10944.07131,17902.45432,2500.584988
Famous Grouse,50,3,BS,69349.76484,346755.8289,201473.173,9146.087557,814480.2606,24237.61377,10922.80275,6806.376706,15219.46098,1579.035288
Famous Grouse,60,1,BS,63931.50529,316238.5798,208693.0775,10582.22195,818324.1909,22157.99384,11528.71302,6691.834846,13264.97538,1242.753826
Famous Grouse,60,2,BS,65290.40231,336632.1648,222666.8336,11025.07055,895821.5225,24002.46875,10570.92436,7116.466607,14113.42724,1397.741262
